C:\Users\Joel-Desktop\PycharmProjects\ANN_derivatives_TO\ANN_derivatives_TO\venv\Scripts\python.exe "C:/Program Files/JetBrains/PyCharm 2022.2.3/plugins/python/helpers/pydev/pydevconsole.py" --mode=client --host=127.0.0.1 --port=52004 
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\Joel-Desktop\\PycharmProjects\\ANN_derivatives_TO\\ANN_derivatives_TO'])
Python 3.9.13 (tags/v3.9.13:6de2ca5, May 17 2022, 16:36:42) [MSC v.1929 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.13 (tags/v3.9.13:6de2ca5, May 17 2022, 16:36:42) [MSC v.1929 64 bit (AMD64)] on win32
runfile('C:\\Users\\Joel-Desktop\\PycharmProjects\\ANN_derivatives_TO\\ANN_derivatives_TO\\Run_SIMPTO_ANN.py', wdir='C:\\Users\\Joel-Desktop\\PycharmProjects\\ANN_derivatives_TO\\ANN_derivatives_TO')
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +3.5760e+02 | 1.00e+00 | 4.43e+00 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   0   |
C:\Users\Joel-Desktop\PycharmProjects\ANN_derivatives_TO\ANN_derivatives_TO\venv\lib\site-packages\scipy\optimize\_hessian_update_strategy.py:182: UserWarning: delta_grad == 0.0. Check if the approximated function is linear. If the function is linear better results can be obtained by defining the Hessian as zero instead of using quasi-Newton approximations.
  warn('delta_grad == 0.0. Check if the approximated '
|   2   |   2   |   1   | +3.2413e+02 | 7.00e+00 | 1.56e+00 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   2   |
|   3   |   3   |   3   | +2.8790e+02 | 1.39e+01 | 4.82e-01 | 5.55e-17 | 1.00e+00 |  1.00e-01   |   4   |
|   4   |   4   |   6   | +2.4156e+02 | 2.91e+01 | 1.80e-01 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   4   |
|   5   |   5   |  21   | +2.1853e+02 | 2.91e+01 | 1.18e-01 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   4   |
|   6   |   6   |  46   | +2.1853e+02 | 2.91e+00 | 1.18e-01 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   2   |
|   7   |   7   |  49   | +2.0394e+02 | 2.03e+01 | 9.47e-02 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   2   |
